"","year","area","street","street2","html"
"3451",2012,"birmingham","wellingtonroad","wellington road",""
"3452",2012,"birmingham","wellingtonroad","wellington road",""
"3453",2012,"birmingham","WestBoulevard","west boulevard",""
"3454",2012,"birmingham","WestCliffPlace","west cliff place",""
"3455",2012,"birmingham","whitehorsepublichouse","white horse public house",""
"3456",2012,"birmingham","WillettsRdturvesGreen"," willetts rd, turves green",""
"3457",2012,"birmingham","woodthroproad","woodthrop road",""
"3458",2012,"birmingham","WorldsEndLaneQuinton"," worlds end lane, quinton",""
"3459",2012,"birmingham","wychallane","wychal lane",""
"3460",2012,"birmingham","wychallane","wychal lane",""
"3461",2012,"birmingham","wychallane","wychal lane",""
"3462",2012,"birmingham","WychallRdKingsNorton"," wychall rd, kings norton",""
"3463",2012,"birmingham","YMCAStoneRoad","ymca stone road",""
"3464",2012,"birmingham","YorkPHyorkroad","york ph york road",""
"3465",2012,"birmingham","AExpresswayBirmingham"," a38 expressway, birmingham",""
"3466",2012,"birmingham","AberdeenStWinsonGreen","aberdeen st winson green",""
"3467",2012,"birmingham","AdcadianCentreLadywellWalk","adcadian centre ladywell walk",""
"3468",2012,"birmingham","AlexanderAvenue","alexander avenue",""
"3469",2012,"birmingham","AlleyWayoffArcadianPalaceHurstStreet"," alley  way off arcadian palace, hurst street",""
"3470",2012,"birmingham","applewoodGrovecradleyheath","applewood grove cradley heath",""
"3471",2012,"birmingham","ArcaBarCityCentre"," arca bar, city centre",""
"3472",2012,"birmingham","Arcadian","arcadian",""
"3473",2012,"birmingham","Arcadian","arcadian",""
"3474",2012,"birmingham","Arcadian","arcadian",""
"3475",2012,"birmingham","Arcadian","arcadian",""
"3476",2012,"birmingham","Arcadian","arcadian",""
"3477",2012,"birmingham","Arcadian","arcadian",""
"3478",2012,"birmingham","Arcadian","arcadian",""
"3479",2012,"birmingham","ArcadianCentre","arcadian centre",""
"3480",2012,"birmingham","ArcadianCentre","arcadian centre",""
"3481",2012,"birmingham","arcadiancentre","arcadian centre",""
"3482",2012,"birmingham","ArcadianCentre","arcadian centre",""
"3483",2012,"birmingham","ArcadianCentre","arcadian centre",""
"3484",2012,"birmingham","Arcadiancentre","arcadian centre",""
"3485",2012,"birmingham","ArcadianCentre","arcadian centre",""
"3486",2012,"birmingham","arcadiancentre","arcadian centre",""
"3487",2012,"birmingham","Arcadiancentre","arcadian centre",""
"3488",2012,"birmingham","ArcadianCentre","arcadian centre",""
"3489",2012,"birmingham","ArcadianCentreLadywellWalk","arcadian centre ladywell walk",""
"3490",2012,"birmingham","ArcadianCentreBirmingham"," arcadian centre, birmingham",""
